X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;X12;X13;X14;X15
"Anxiety disorders: moderate; Cancer: diagnosis and primary therapy";"Major depressive disorder: moderate episode; COPD and other chronic respiratory disease: severe";"Asthma: partially controlled; Hearing loss: complete";"Distance vision: moderate impairment; Decompensated cirrhosis of the liver";"Hearing loss: moderate; Anemia: moderate";"Acute myocardial infarction: days 3-28; Dementia: moderate";"Anemia: moderate; Acute myocardial infarction: days 3-28";"Asthma: controlled; Dementia: moderate";"COPD and other chronic respiratory disease: mild; Dementia: moderate";"Hearing loss: moderate; Diabetic neuropathy";"COPD and other chronic respiratory disease: mild; Motor impairment: moderate";"Stroke: long-term consequences, moderate; Anxiety disorders: severe";"Amputation of finger(s), excluding thumb: long term, with treatment; Distance vision: severe impairment";"COPD and other chronic respiratory disease: severe; Major depressive disorder: moderate episode";"Anemia: moderate; Parkinson's disease: moderate"
"Anxiety disorders: severe; Traumatic brain injury: long-term consequences, moderate, with or without treatment";"Stroke: long-term consequences, moderate; Asthma: controlled";"Anemia: moderate; Hearing loss: complete";"Decompensated cirrhosis of the liver; Amputation of finger(s), excluding thumb: long term, with treatment";"Dementia: mild; Asthma: partially controlled";"Motor impairment: moderate; Dementia: mild";"Spinal cord lesion at neck level: treated; Angina pectoris: moderate";"Spinal cord lesion at neck level: treated; Anxiety disorders: severe";"Multiple sclerosis: severe; Traumatic brain injury: long-term consequences, moderate, with or without treatment";"Multiple sclerosis: severe; Anxiety disorders: severe";"Stroke: long-term consequences, severe plus cognition problems; Multiple sclerosis: severe";"Spinal cord lesion at neck level: treated; Distance vision: severe impairment";"Spinal cord lesion at neck level: treated; Parkinson's disease: moderate";"Asthma: controlled; Stroke: long-term consequences, moderate";"COPD and other chronic respiratory disease: severe; Anemia: moderate"
"Stroke: long-term consequences, severe plus cognition problems; Decompensated cirrhosis of the liver";"Parkinson's disease: moderate; Hearing loss: complete";"Dementia: mild; Hearing loss: complete";"Dementia: moderate; Parkinson's disease: moderate";"Stroke: long-term consequences, moderate; Distance vision: moderate impairment";"Major depressive disorder: moderate episode; Angina pectoris: moderate";"Parkinson's disease: moderate; COPD and other chronic respiratory disease: mild";"Angina pectoris: moderate; Asthma: controlled";"Dementia: mild; Diabetic neuropathy";"Diabetic neuropathy; Asthma: partially controlled";"Musculoskeletal problems, legs: mild; Asthma: partially controlled";"Motor impairment: moderate; Angina pectoris: moderate";"Distance vision: severe impairment; Musculoskeletal problems, legs: mild";"Hearing loss: complete; Parkinson's disease: moderate";"Anxiety disorders: moderate; COPD and other chronic respiratory disease: mild"
"Stroke: long-term consequences, severe plus cognition problems; Anxiety disorders: moderate";"Dementia: mild; Distance vision: moderate impairment";"Parkinson's disease: moderate; Asthma: partially controlled";"Spinal cord lesion at neck level: treated; Multiple sclerosis: severe";"Spinal cord lesion at neck level: treated; Amputation of finger(s), excluding thumb: long term, with treatment";"Angina pectoris: moderate; Hearing loss: moderate";"COPD and other chronic respiratory disease: mild; Asthma: controlled";"Distance vision: severe impairment; Cancer: diagnosis and primary therapy";"Anxiety disorders: severe; COPD and other chronic respiratory disease: mild";"Stroke: long-term consequences, moderate; Acute myocardial infarction: days 3-28";"Acute myocardial infarction: days 3-28; Asthma: controlled";"Angina pectoris: moderate; Distance vision: moderate impairment";"Traumatic brain injury: long-term consequences, moderate, with or without treatment; Acute myocardial infarction: days 3-28";"Distance vision: moderate impairment; Dementia: mild";"Distance vision: severe impairment; Hearing loss: moderate"
"Motor impairment: moderate; Multiple sclerosis: severe";"Dementia: mild; Anxiety disorders: moderate";"Angina pectoris: moderate; Diabetic neuropathy";"Dementia: mild; Acute myocardial infarction: days 3-28";"Cancer: diagnosis and primary therapy; Multiple sclerosis: severe";"Hearing loss: moderate; Stroke: long-term consequences, moderate";"Dementia: mild; Cancer: diagnosis and primary therapy";"Diabetic neuropathy; Dementia: moderate";"Traumatic brain injury: long-term consequences, moderate, with or without treatment; Distance vision: severe impairment";"Stroke: long-term consequences, moderate; Stroke: long-term consequences, severe plus cognition problems";"Asthma: partially controlled; Motor impairment: moderate";"Hearing loss: complete; Dementia: moderate";"COPD and other chronic respiratory disease: severe; Stroke: long-term consequences, severe plus cognition problems";"Anxiety disorders: moderate; Dementia: mild";"Amputation of finger(s), excluding thumb: long term, with treatment; Major depressive disorder: moderate episode"
"Traumatic brain injury: long-term consequences, moderate, with or without treatment; Anemia: moderate";"Stroke: long-term consequences, severe plus cognition problems; Cancer: diagnosis and primary therapy";"Stroke: long-term consequences, moderate; Musculoskeletal problems, legs: mild";"Spinal cord lesion at neck level: treated; Major depressive disorder: moderate episode";"Decompensated cirrhosis of the liver; Anemia: moderate";"Cancer: diagnosis and primary therapy; Angina pectoris: moderate";"Distance vision: severe impairment; Motor impairment: moderate";"Distance vision: severe impairment; COPD and other chronic respiratory disease: mild";"Anxiety disorders: severe; Musculoskeletal problems, legs: mild";"Decompensated cirrhosis of the liver; Diabetic neuropathy";"Dementia: moderate; Musculoskeletal problems, legs: mild";"Stroke: long-term consequences, severe plus cognition problems; Traumatic brain injury: long-term consequences, moderate, with or without treatment";"Cancer: diagnosis and primary therapy; Distance vision: moderate impairment";"Cancer: diagnosis and primary therapy; Stroke: long-term consequences, severe plus cognition problems";"Anxiety disorders: severe; Asthma: partially controlled"
"Anxiety disorders: severe; Stroke: long-term consequences, moderate";"Musculoskeletal problems, legs: mild; COPD and other chronic respiratory disease: mild";"Stroke: long-term consequences, severe plus cognition problems; Diabetic neuropathy";"Amputation of finger(s), excluding thumb: long term, with treatment; Angina pectoris: moderate";"Spinal cord lesion at neck level: treated; Asthma: controlled";"Anxiety disorders: moderate; Diabetic neuropathy";"Spinal cord lesion at neck level: treated; Major depressive disorder: moderate episode";"Distance vision: moderate impairment; Asthma: controlled";"Stroke: long-term consequences, severe plus cognition problems; Dementia: moderate";"Dementia: mild; Angina pectoris: moderate";"Anxiety disorders: severe; Acute myocardial infarction: days 3-28";"Dementia: mild; Asthma: partially controlled";"Anxiety disorders: severe; Distance vision: severe impairment";"COPD and other chronic respiratory disease: mild; Musculoskeletal problems, legs: mild";"Cancer: diagnosis and primary therapy; Musculoskeletal problems, legs: mild"
"Dementia: mild; Multiple sclerosis: severe";"Asthma: partially controlled; Angina pectoris: moderate";"Distance vision: severe impairment; Spinal cord lesion at neck level: treated";"Cancer: diagnosis and primary therapy; Spinal cord lesion at neck level: treated";"Amputation of finger(s), excluding thumb: long term, with treatment; Dementia: moderate";"COPD and other chronic respiratory disease: mild; Musculoskeletal problems, legs: mild";"Angina pectoris: moderate; Anxiety disorders: severe";"Anxiety disorders: moderate; Traumatic brain injury: long-term consequences, moderate, with or without treatment";"Anxiety disorders: moderate; Multiple sclerosis: severe";"Dementia: moderate; Multiple sclerosis: severe";"COPD and other chronic respiratory disease: mild; Stroke: long-term consequences, severe plus cognition problems";"Musculoskeletal problems, legs: mild; COPD and other chronic respiratory disease: severe";"Musculoskeletal problems, legs: mild; Angina pectoris: moderate";"Angina pectoris: moderate; Asthma: partially controlled";"Distance vision: moderate impairment; Hearing loss: complete"
"Amputation of finger(s), excluding thumb: long term, with treatment; Diabetic neuropathy";"Multiple sclerosis: severe; Hearing loss: moderate";"Major depressive disorder: moderate episode; Cancer: diagnosis and primary therapy";"Parkinson's disease: moderate; Asthma: controlled";"Spinal cord lesion at neck level: treated; Anemia: moderate";"Stroke: long-term consequences, moderate; Acute myocardial infarction: days 3-28";"Multiple sclerosis: severe; Musculoskeletal problems, legs: mild";"Decompensated cirrhosis of the liver; Cancer: diagnosis and primary therapy";"Acute myocardial infarction: days 3-28; Asthma: partially controlled";"Cancer: diagnosis and primary therapy; Motor impairment: moderate";"Distance vision: moderate impairment; Asthma: partially controlled";"Anxiety disorders: severe; Hearing loss: moderate";"Motor impairment: moderate; Distance vision: moderate impairment";"Hearing loss: moderate; Multiple sclerosis: severe";"Anemia: moderate; Asthma: controlled"
"Stroke: long-term consequences, moderate; Distance vision: severe impairment";"Angina pectoris: moderate; Dementia: mild";"Acute myocardial infarction: days 3-28; Cancer: diagnosis and primary therapy";"Asthma: controlled; Decompensated cirrhosis of the liver";"Parkinson's disease: moderate; Multiple sclerosis: severe";"Anemia: moderate; Distance vision: severe impairment";"Traumatic brain injury: long-term consequences, moderate, with or without treatment; Multiple sclerosis: severe";"Amputation of finger(s), excluding thumb: long term, with treatment; Major depressive disorder: moderate episode";"Asthma: partially controlled; Distance vision: severe impairment";"Asthma: partially controlled; Traumatic brain injury: long-term consequences, moderate, with or without treatment";"Asthma: controlled; Hearing loss: complete";"Musculoskeletal problems, legs: mild; COPD and other chronic respiratory disease: severe";"Distance vision: moderate impairment; Musculoskeletal problems, legs: mild";"Dementia: mild; Angina pectoris: moderate";"Musculoskeletal problems, legs: mild; Multiple sclerosis: severe"
"Amputation of finger(s), excluding thumb: long term, with treatment; Dementia: moderate";"Amputation of finger(s), excluding thumb: long term, with treatment; Traumatic brain injury: long-term consequences, moderate, with or without treatment";"Dementia: mild; COPD and other chronic respiratory disease: severe";"Dementia: mild; Acute myocardial infarction: days 3-28";"COPD and other chronic respiratory disease: mild; Cancer: diagnosis and primary therapy";"Dementia: mild; Stroke: long-term consequences, severe plus cognition problems";"Major depressive disorder: moderate episode; Multiple sclerosis: severe";"Anxiety disorders: moderate; Parkinson's disease: moderate";"Angina pectoris: moderate; Stroke: long-term consequences, severe plus cognition problems";"Anemia: moderate; Parkinson's disease: moderate";"Asthma: partially controlled; Distance vision: moderate impairment";"Distance vision: moderate impairment; Stroke: long-term consequences, severe plus cognition problems";"COPD and other chronic respiratory disease: mild; Hearing loss: complete";"Traumatic brain injury: long-term consequences, moderate, with or without treatment; Amputation of finger(s), excluding thumb: long term, with treatment";"Dementia: mild; Stroke: long-term consequences, moderate"
"Diabetic neuropathy; Stroke: long-term consequences, moderate";"COPD and other chronic respiratory disease: mild; Distance vision: moderate impairment";"Asthma: controlled; Hearing loss: moderate";"COPD and other chronic respiratory disease: mild; Dementia: mild";"Distance vision: moderate impairment; Dementia: moderate";"Amputation of finger(s), excluding thumb: long term, with treatment; Stroke: long-term consequences, moderate";"Traumatic brain injury: long-term consequences, moderate, with or without treatment; Parkinson's disease: moderate";"Anemia: moderate; Spinal cord lesion at neck level: treated";"COPD and other chronic respiratory disease: severe; Spinal cord lesion at neck level: treated";"Asthma: partially controlled; Major depressive disorder: moderate episode";"Hearing loss: complete; Stroke: long-term consequences, severe plus cognition problems";"Hearing loss: moderate; Diabetic neuropathy";"Hearing loss: moderate; Traumatic brain injury: long-term consequences, moderate, with or without treatment";"Distance vision: moderate impairment; COPD and other chronic respiratory disease: mild";"Hearing loss: moderate; Asthma: partially controlled"
"Hearing loss: moderate; Amputation of finger(s), excluding thumb: long term, with treatment";"Asthma: partially controlled; Cancer: diagnosis and primary therapy";"Asthma: controlled; Stroke: long-term consequences, severe plus cognition problems";"Angina pectoris: moderate; Cancer: diagnosis and primary therapy";"Anxiety disorders: moderate; Motor impairment: moderate";"Anemia: moderate; Motor impairment: moderate";"Distance vision: moderate impairment; Motor impairment: moderate";"Anxiety disorders: moderate; Spinal cord lesion at neck level: treated";"Dementia: mild; Anxiety disorders: moderate";"Stroke: long-term consequences, moderate; Multiple sclerosis: severe";"Asthma: controlled; Cancer: diagnosis and primary therapy";"Acute myocardial infarction: days 3-28; Major depressive disorder: moderate episode";"Musculoskeletal problems, legs: mild; Anemia: moderate";"Cancer: diagnosis and primary therapy; Asthma: partially controlled";"Anxiety disorders: severe; Dementia: moderate"
"Traumatic brain injury: long-term consequences, moderate, with or without treatment; Angina pectoris: moderate";"Cancer: diagnosis and primary therapy; Stroke: long-term consequences, moderate";"Distance vision: moderate impairment; Asthma: controlled";"Anemia: moderate; Distance vision: moderate impairment";"Multiple sclerosis: severe; Angina pectoris: moderate";"Distance vision: severe impairment; Diabetic neuropathy";"Dementia: moderate; Hearing loss: complete";"Amputation of finger(s), excluding thumb: long term, with treatment; Anxiety disorders: moderate";"Anxiety disorders: severe; Major depressive disorder: moderate episode";"Spinal cord lesion at neck level: treated; Hearing loss: moderate";"Traumatic brain injury: long-term consequences, moderate, with or without treatment; Anxiety disorders: moderate";"Motor impairment: moderate; Amputation of finger(s), excluding thumb: long term, with treatment";"Parkinson's disease: moderate; Hearing loss: moderate";"Stroke: long-term consequences, moderate; Cancer: diagnosis and primary therapy";"Major depressive disorder: moderate episode; Stroke: long-term consequences, moderate"
"Angina pectoris: moderate; Major depressive disorder: moderate episode";"Angina pectoris: moderate; Decompensated cirrhosis of the liver";"Distance vision: moderate impairment; Acute myocardial infarction: days 3-28";"Amputation of finger(s), excluding thumb: long term, with treatment; Acute myocardial infarction: days 3-28";"Acute myocardial infarction: days 3-28; Anxiety disorders: severe";"Decompensated cirrhosis of the liver; Distance vision: severe impairment";"Acute myocardial infarction: days 3-28; Stroke: long-term consequences, severe plus cognition problems";"Anemia: moderate; Anxiety disorders: moderate";"Distance vision: moderate impairment; Distance vision: severe impairment";"Hearing loss: complete; Acute myocardial infarction: days 3-28";"Acute myocardial infarction: days 3-28; Spinal cord lesion at neck level: treated";"Asthma: controlled; Angina pectoris: moderate";"Major depressive disorder: moderate episode; Dementia: moderate";"Decompensated cirrhosis of the liver; Angina pectoris: moderate";"Diabetic neuropathy; Stroke: long-term consequences, moderate"
"Asthma: partially controlled; Spinal cord lesion at neck level: treated";"Traumatic brain injury: long-term consequences, moderate, with or without treatment; Motor impairment: moderate";"Musculoskeletal problems, legs: mild; Stroke: long-term consequences, moderate";"Parkinson's disease: moderate; COPD and other chronic respiratory disease: severe";"Amputation of finger(s), excluding thumb: long term, with treatment; Multiple sclerosis: severe";"Diabetic neuropathy; Decompensated cirrhosis of the liver";"Stroke: long-term consequences, moderate; Dementia: moderate";"Diabetic neuropathy; Distance vision: severe impairment";"Decompensated cirrhosis of the liver; Distance vision: severe impairment";"Traumatic brain injury: long-term consequences, moderate, with or without treatment; Stroke: long-term consequences, severe plus cognition problems";"Stroke: long-term consequences, moderate; Spinal cord lesion at neck level: treated";"Asthma: partially controlled; Traumatic brain injury: long-term consequences, moderate, with or without treatment";"Anemia: moderate; Anxiety disorders: moderate";"Motor impairment: moderate; Traumatic brain injury: long-term consequences, moderate, with or without treatment";"Anemia: moderate; Amputation of finger(s), excluding thumb: long term, with treatment"
"Anxiety disorders: severe; Musculoskeletal problems, legs: mild";"Anemia: moderate; Diabetic neuropathy";"Amputation of finger(s), excluding thumb: long term, with treatment; COPD and other chronic respiratory disease: mild";"Dementia: mild; Musculoskeletal problems, legs: mild";"Musculoskeletal problems, legs: mild; Hearing loss: moderate";"Distance vision: severe impairment; Hearing loss: complete";"Spinal cord lesion at neck level: treated; Hearing loss: complete";"Stroke: long-term consequences, moderate; Hearing loss: complete";"Major depressive disorder: moderate episode; Hearing loss: moderate";"Decompensated cirrhosis of the liver; Acute myocardial infarction: days 3-28";"Stroke: long-term consequences, moderate; Anxiety disorders: moderate";"Anemia: moderate; Angina pectoris: moderate";"Cancer: diagnosis and primary therapy; Motor impairment: moderate";"Diabetic neuropathy; Anemia: moderate";"Multiple sclerosis: severe; Dementia: moderate"
"Multiple sclerosis: severe; Decompensated cirrhosis of the liver";"COPD and other chronic respiratory disease: mild; Asthma: partially controlled";"Decompensated cirrhosis of the liver; Traumatic brain injury: long-term consequences, moderate, with or without treatment";"COPD and other chronic respiratory disease: severe; Asthma: controlled";"COPD and other chronic respiratory disease: severe; Hearing loss: moderate";"Stroke: long-term consequences, moderate; Hearing loss: complete";"Distance vision: severe impairment; Hearing loss: moderate";"Dementia: moderate; Dementia: mild";"COPD and other chronic respiratory disease: severe; Distance vision: moderate impairment";"Parkinson's disease: moderate; Traumatic brain injury: long-term consequences, moderate, with or without treatment";"COPD and other chronic respiratory disease: severe; Diabetic neuropathy";"Stroke: long-term consequences, severe plus cognition problems; COPD and other chronic respiratory disease: mild";"Acute myocardial infarction: days 3-28; Diabetic neuropathy";"Asthma: partially controlled; COPD and other chronic respiratory disease: mild";"COPD and other chronic respiratory disease: severe; Angina pectoris: moderate"
"Cancer: diagnosis and primary therapy; Amputation of finger(s), excluding thumb: long term, with treatment";"Parkinson's disease: moderate; Hearing loss: moderate";"Diabetic neuropathy; Distance vision: moderate impairment";"Dementia: mild; Distance vision: moderate impairment";"Cancer: diagnosis and primary therapy; Distance vision: moderate impairment";"Decompensated cirrhosis of the liver; Anemia: moderate";"Decompensated cirrhosis of the liver; Dementia: mild";"Spinal cord lesion at neck level: treated; Musculoskeletal problems, legs: mild";"Traumatic brain injury: long-term consequences, moderate, with or without treatment; Stroke: long-term consequences, moderate";"Stroke: long-term consequences, severe plus cognition problems; Anemia: moderate";"Multiple sclerosis: severe; Distance vision: severe impairment";"Anxiety disorders: moderate; Angina pectoris: moderate";"Dementia: moderate; Traumatic brain injury: long-term consequences, moderate, with or without treatment";"Hearing loss: moderate; Parkinson's disease: moderate";"COPD and other chronic respiratory disease: mild; Asthma: controlled"
"Anxiety disorders: moderate; Hearing loss: complete";"Stroke: long-term consequences, moderate; COPD and other chronic respiratory disease: mild";"Musculoskeletal problems, legs: mild; Distance vision: moderate impairment";"Anxiety disorders: severe; Motor impairment: moderate";"Acute myocardial infarction: days 3-28; Dementia: mild";"Distance vision: severe impairment; Asthma: controlled";"Spinal cord lesion at neck level: treated; Angina pectoris: moderate";"Major depressive disorder: moderate episode; Hearing loss: complete";"COPD and other chronic respiratory disease: severe; Cancer: diagnosis and primary therapy";"Decompensated cirrhosis of the liver; Amputation of finger(s), excluding thumb: long term, with treatment";"Multiple sclerosis: severe; Hearing loss: moderate";"Diabetic neuropathy; Hearing loss: complete";"Spinal cord lesion at neck level: treated; Dementia: mild";"COPD and other chronic respiratory disease: mild; Stroke: long-term consequences, moderate";"COPD and other chronic respiratory disease: severe; Hearing loss: complete"
"Parkinson's disease: moderate; Stroke: long-term consequences, severe plus cognition problems";"Amputation of finger(s), excluding thumb: long term, with treatment; Decompensated cirrhosis of the liver";"Hearing loss: moderate; Dementia: moderate";"Motor impairment: moderate; Major depressive disorder: moderate episode";"Asthma: partially controlled; Dementia: mild";"Hearing loss: complete; Anemia: moderate";"COPD and other chronic respiratory disease: mild; Spinal cord lesion at neck level: treated";"Anemia: moderate; Anxiety disorders: severe";"Distance vision: moderate impairment; Angina pectoris: moderate";"Cancer: diagnosis and primary therapy; Anxiety disorders: severe";"Acute myocardial infarction: days 3-28; Multiple sclerosis: severe";"Angina pectoris: moderate; Anxiety disorders: moderate";"Asthma: controlled; Multiple sclerosis: severe";"Decompensated cirrhosis of the liver; Amputation of finger(s), excluding thumb: long term, with treatment";"Major depressive disorder: moderate episode; Spinal cord lesion at neck level: treated"
