X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;X12;X13;X14;X15
B;B;B;B;B;B;B;A;B;B;B;B;B;A;B
B;B;B;B;B;B;A;B;B;B;B;B;B;A;B
B;B;B;B;A;B;B;B;B;B;B;B;B;A;B
B;B;B;A;B;B;A;B;B;B;B;B;B;A;B
B;B;B;A;B;B;A;B;B;B;B;A;A;A;B
A;A;A;B;A;B;A;A;A;A;A;A;B;B;A
B;B;B;B;A;B;B;B;B;B;B;B;B;B;B
B;B;B;B;B;B;B;B;B;A;A;B;A;A;B
B;B;B;B;A;B;B;B;B;B;B;B;B;A;B
B;B;A;A;A;A;A;B;A;A;A;A;A;A;A
A;B;B;A;B;A;A;B;A;B;A;A;B;B;B
A;B;A;A;B;A;B;A;B;B;B;A;A;A;A
B;A;A;B;B;A;A;B;A;A;A;A;A;B;A
A;A;B;A;A;A;A;A;A;B;A;B;B;B;A
A;B;B;B;B;B;A;B;A;B;B;B;B;A;B
A;A;A;A;A;A;A;A;A;A;B;A;B;B;B
B;B;B;B;B;B;B;A;B;B;B;B;A;A;B
A;A;A;A;A;A;B;A;A;A;B;A;A;B;B
B;B;B;B;B;A;B;A;B;B;B;B;B;A;B
A;A;A;A;A;B;A;A;B;A;A;B;A;B;A
B;A;B;A;B;A;A;A;B;B;A;A;A;B;A
B;B;B;B;B;B;B;B;B;B;B;B;B;A;B
A;B;B;A;B;A;B;A;B;B;A;A;A;A;A
B;B;B;B;B;B;B;B;B;B;B;B;B;A;B
B;B;A;B;A;A;A;B;A;A;A;B;A;A;A
A;A;A;A;A;B;A;A;A;A;B;A;B;B;A
B;B;B;A;B;B;B;B;A;B;B;B;A;A;B
B;B;B;B;A;B;B;B;B;B;B;B;B;A;B
B;A;A;A;B;A;B;B;A;A;A;A;A;B;A
A;A;A;A;A;A;A;A;A;A;B;A;B;B;A
A;A;A;B;A;A;A;B;A;B;B;A;A;B;B
A;A;A;A;A;A;B;A;A;A;A;B;B;B;A
B;B;B;B;B;B;A;B;B;B;B;B;A;A;A
B;B;B;B;A;B;B;B;B;B;B;B;B;A;B
B;B;B;B;B;A;B;B;B;B;A;B;B;A;A
B;B;B;B;B;B;B;B;B;B;B;B;B;A;B
B;B;B;B;A;B;A;B;B;B;B;B;B;A;B
B;B;B;B;B;B;B;B;B;A;B;B;B;A;B
B;A;B;B;A;B;B;B;B;B;B;B;B;B;B
A;A;B;A;A;B;A;A;B;A;B;A;A;B;A
B;A;A;A;B;B;A;B;B;A;A;A;A;B;B
A;A;A;A;B;A;A;A;A;A;A;A;A;B;A
B;B;B;B;B;A;B;B;A;A;B;B;B;A;B
B;B;B;B;B;B;B;B;B;B;A;B;B;A;B
B;B;B;B;B;B;B;B;A;B;B;B;B;A;B
B;B;B;B;B;B;B;B;B;B;B;B;A;A;B
B;B;B;B;B;B;B;B;B;B;B;B;B;A;A
A;A;A;A;A;A;A;A;B;B;A;A;A;B;B
A;B;A;A;A;A;B;A;A;A;B;B;A;B;A
B;A;B;B;A;B;B;B;B;B;A;B;B;B;B
B;B;B;B;A;B;B;B;B;B;B;B;B;A;A
B;A;B;A;B;B;B;B;B;B;B;B;B;B;B
A;A;A;A;A;A;A;A;A;A;A;A;A;B;B
B;B;A;B;B;B;A;B;B;B;B;B;B;A;B
B;B;A;A;A;B;B;B;B;B;B;B;A;A;B
B;A;A;A;A;A;A;A;B;B;A;A;A;B;A
A;A;A;B;A;B;A;A;A;A;B;A;B;B;A
B;B;B;B;B;B;A;B;B;B;A;B;A;A;B
B;B;B;B;B;B;B;A;B;B;B;B;B;A;B
A;A;B;A;A;B;A;B;B;A;A;A;A;B;A
A;A;B;A;A;A;B;A;B;B;A;A;A;B;A
A;B;B;B;A;B;B;B;B;B;A;B;B;A;A
A;A;B;A;B;A;A;A;A;A;A;A;B;B;A
B;B;B;B;B;B;B;B;B;B;B;B;A;A;B
B;B;A;B;B;B;A;B;A;B;A;B;A;A;B
A;A;A;A;A;A;B;B;A;A;A;A;A;B;B
B;B;B;B;B;B;B;B;B;A;B;B;A;A;B
A;A;B;B;B;A;B;A;A;A;A;A;A;B;A
B;B;B;B;B;B;A;B;B;B;B;B;B;A;B
B;A;A;B;B;B;B;B;B;B;A;B;B;A;B
B;B;B;B;A;B;B;A;A;B;A;B;B;A;A
A;A;A;A;A;A;B;A;A;A;A;A;A;B;A
A;A;A;A;B;A;A;A;B;B;A;B;A;B;A
B;B;B;B;B;B;B;B;B;A;B;B;B;A;B
B;B;A;B;A;B;A;B;B;A;B;B;B;A;B
B;B;B;B;B;B;B;B;B;B;B;B;B;A;B
B;B;B;B;B;B;A;B;B;B;B;A;B;A;B
B;A;B;B;A;A;A;A;A;A;B;A;A;B;A
B;A;A;A;A;A;B;A;A;A;A;A;B;B;A
A;B;A;A;A;A;B;A;B;A;A;A;A;B;A
B;A;A;B;A;A;A;A;B;A;B;A;A;B;A
B;A;B;B;B;B;B;A;B;B;B;B;B;B;B
B;B;A;A;B;B;B;B;B;A;B;B;B;A;A
B;B;B;B;A;A;B;B;B;B;B;B;B;A;B
A;B;B;B;A;B;B;B;B;B;B;B;B;A;B
B;B;B;A;B;B;A;A;B;A;A;B;B;B;B
B;B;B;B;A;B;B;B;B;A;B;B;B;A;B
B;B;B;A;B;A;B;B;B;B;A;B;A;A;B
B;A;A;A;A;A;A;A;A;B;B;A;B;B;A
B;B;B;B;B;B;B;A;B;B;B;B;B;A;A
A;B;A;A;A;B;A;A;B;B;A;B;A;A;A
A;B;A;A;A;A;A;A;A;A;A;A;A;A;A
B;B;B;B;A;B;B;A;B;B;B;B;B;A;B
A;B;B;B;B;B;B;B;B;A;B;B;A;A;B
B;B;B;B;B;B;A;B;B;B;B;B;A;A;B
A;A;A;B;A;B;A;A;A;A;A;B;B;B;A
B;B;B;A;B;B;A;B;B;B;B;B;A;A;A
B;B;B;A;B;A;B;B;A;B;B;B;B;A;B
B;A;A;A;A;A;B;A;B;A;A;A;A;B;A
B;A;A;A;B;A;A;B;A;B;A;B;A;B;A
A;B;B;B;B;B;B;B;A;B;B;B;B;A;B
B;B;B;B;B;B;B;B;B;B;B;A;B;A;B
A;A;A;B;A;A;B;A;A;A;A;A;A;B;A
A;B;A;B;B;B;A;A;A;B;B;B;B;A;B
A;A;A;A;A;A;A;A;A;A;A;B;B;B;A
B;B;B;B;A;B;B;B;B;B;B;A;B;A;B
B;B;A;B;A;B;B;B;B;B;A;B;B;A;B
A;A;B;B;A;A;A;A;A;A;A;A;A;B;A
B;B;A;B;B;B;B;B;B;B;B;B;B;A;B
A;A;A;B;B;A;A;B;A;A;B;A;A;B;A
B;B;B;B;B;A;A;B;B;B;B;B;B;A;A
B;A;B;B;A;B;A;B;A;B;B;B;B;B;B
A;B;A;A;A;B;A;B;B;A;A;A;A;A;A
A;B;A;A;A;A;B;A;A;A;A;A;B;B;A
B;B;B;B;B;B;B;B;B;B;B;B;B;A;A
A;B;B;B;B;B;A;A;B;A;B;A;B;A;B
A;A;A;B;B;A;B;B;A;B;B;A;A;B;B
A;B;B;A;A;A;A;A;B;A;A;A;A;B;B
B;B;B;B;B;A;A;B;B;B;B;B;B;A;B
B;B;B;B;A;B;B;B;B;B;B;B;B;A;B
B;B;A;B;B;B;B;B;B;B;B;A;A;A;A
A;B;A;A;B;A;A;A;A;A;A;B;A;A;A
A;A;A;B;A;B;B;A;B;B;A;A;A;B;B
B;B;A;A;A;B;B;B;B;B;B;B;B;A;B
B;B;A;B;B;B;B;A;B;A;B;B;B;A;B
B;B;A;A;B;B;B;B;A;B;B;A;B;A;B
B;B;B;B;B;B;A;B;B;B;B;B;A;A;B
B;B;B;B;A;B;B;B;B;B;B;B;A;A;B
B;A;B;B;B;B;B;B;B;B;B;B;B;B;B
B;A;B;A;B;B;A;A;A;B;A;A;A;B;A
B;A;A;B;A;A;A;A;A;A;A;A;B;B;A
B;A;B;B;A;A;A;A;B;A;B;A;A;B;B
A;B;A;A;A;A;B;A;A;B;A;A;A;A;A
A;A;A;A;A;A;A;A;A;B;A;A;A;B;B
B;A;A;A;A;B;A;A;A;A;A;A;A;B;B
A;B;B;B;B;B;A;A;B;B;B;B;B;A;B
A;A;A;A;B;A;A;A;A;B;A;B;A;B;A
A;B;A;A;A;A;A;B;A;B;B;A;A;A;B
A;A;A;B;B;A;A;A;A;A;A;A;A;B;A
A;A;A;B;A;A;A;B;A;B;B;A;A;B;B
B;A;A;B;B;A;A;A;A;A;A;B;A;B;A
B;B;B;B;B;B;B;B;B;B;B;A;B;A;B
B;B;B;B;B;B;B;B;B;B;B;B;B;A;B
B;A;B;B;B;B;B;B;B;B;B;A;A;B;A
B;A;A;A;A;A;A;A;A;A;A;A;A;B;B
B;A;B;B;A;A;B;A;A;A;A;A;B;B;A
A;A;A;A;A;B;A;A;A;B;B;A;B;B;B
A;A;A;B;B;A;B;A;A;A;A;A;A;B;A
A;A;A;A;B;B;A;A;A;B;A;A;A;B;A
B;A;B;A;B;B;B;B;B;B;B;B;B;B;B
A;A;A;A;B;A;B;A;A;A;A;A;A;B;A
B;B;B;B;B;B;B;B;A;B;B;A;B;A;B
B;B;A;B;B;B;B;B;A;B;B;B;B;A;B
B;B;B;B;B;B;B;B;B;A;B;B;B;A;B
A;A;A;A;A;A;B;B;A;A;A;A;A;B;A
B;A;A;A;A;A;B;A;A;A;A;A;A;B;A
A;B;A;A;A;A;B;A;A;A;B;A;B;B;A
B;B;B;A;B;B;B;A;B;B;B;B;B;A;B
B;B;B;B;B;A;A;B;B;B;B;B;B;A;A
B;B;B;B;B;B;B;B;B;B;B;B;B;A;B
B;B;B;B;B;B;B;B;A;B;B;B;B;A;B
B;A;B;B;B;B;B;B;B;B;B;B;B;B;B
B;A;A;A;A;A;B;A;A;A;A;B;A;B;A
A;B;B;B;B;B;B;B;B;B;B;B;A;A;B
B;A;B;B;B;B;B;B;B;B;B;B;A;B;B
B;B;B;B;B;B;B;B;B;B;B;B;B;A;B
B;B;A;A;A;A;B;A;A;A;B;A;B;A;A
A;A;B;B;B;A;A;A;A;A;A;A;A;B;A
B;B;B;B;A;A;B;B;B;A;B;B;B;A;B
B;B;A;B;B;B;A;B;B;B;B;B;B;A;B
A;A;B;B;B;B;B;A;A;A;A;B;A;B;B
A;A;A;B;A;A;A;A;B;A;B;A;A;B;A
B;A;B;A;A;A;A;B;A;A;A;A;B;B;A
A;A;A;A;A;A;B;B;A;B;A;A;B;B;B
B;B;B;B;B;B;A;B;B;B;B;A;B;A;B
A;A;A;A;A;B;A;A;A;A;A;A;A;B;A
B;B;B;B;B;B;B;B;B;B;B;B;A;A;B
A;B;A;A;A;A;A;A;A;B;A;A;B;B;A
B;B;B;B;B;A;B;B;B;A;A;B;B;A;B
A;A;A;A;B;A;A;A;A;A;A;A;A;B;A
B;A;B;B;B;B;B;A;B;B;B;B;B;B;B
B;B;B;A;A;B;B;B;A;B;B;B;B;A;B
A;A;A;A;A;A;A;B;A;B;B;A;B;B;A
A;B;A;B;A;A;B;A;B;A;A;A;A;A;A
B;B;B;B;B;B;B;B;B;B;B;B;B;A;B
A;B;B;B;B;B;A;B;B;A;B;B;B;A;B
A;A;A;A;A;A;A;A;A;A;A;A;B;B;B
A;A;A;A;A;A;A;A;A;A;A;B;B;B;A
B;A;B;B;B;B;A;A;B;B;A;B;A;B;B
B;A;B;A;B;A;B;B;B;B;B;B;B;B;B
B;B;A;B;B;A;B;A;B;B;B;B;A;A;A
A;B;A;A;A;A;A;A;A;A;A;A;A;B;A
A;A;A;A;A;A;A;A;A;A;B;A;B;B;A
A;B;B;B;B;A;B;B;B;B;B;B;B;A;A
A;B;B;B;B;B;B;B;B;B;A;B;B;A;A
A;A;A;A;A;B;B;A;B;A;A;A;A;B;A
B;A;B;B;B;A;B;B;B;B;B;B;B;B;B
A;B;A;B;B;B;B;A;B;B;B;B;B;A;B
B;B;B;B;B;B;B;B;B;A;B;B;B;A;A
B;B;B;A;A;A;A;A;A;A;A;A;A;A;A
B;A;B;B;B;B;B;B;B;B;B;B;B;B;B
A;A;A;A;B;B;B;A;A;A;A;A;B;B;A
A;B;A;A;A;B;A;A;A;A;A;A;A;B;A
A;B;B;B;B;B;B;B;B;B;B;B;A;A;B
A;A;A;B;A;B;B;B;A;B;A;A;A;B;A
B;A;B;B;B;A;B;B;B;B;B;B;B;B;A
A;B;A;A;A;A;A;B;A;A;B;A;A;B;A
B;A;A;A;B;A;A;A;A;A;A;B;A;B;B
B;A;A;A;B;B;A;A;B;A;B;A;B;B;A
A;A;A;B;A;A;A;A;A;A;A;A;A;B;B
A;B;B;A;A;A;A;A;A;A;A;A;A;B;A
B;B;A;B;B;B;A;B;B;B;B;B;B;A;A
A;B;A;A;A;B;A;A;B;B;B;A;A;B;A
A;B;B;B;B;B;B;B;B;B;B;A;B;A;B
B;B;B;B;B;B;A;A;B;B;B;B;B;A;B
B;B;B;B;B;A;B;B;B;B;B;B;B;A;B
B;A;A;A;A;B;A;B;A;B;A;A;A;B;A
B;A;A;A;A;A;A;B;A;A;A;A;A;B;A
A;B;B;A;B;A;A;A;B;B;B;B;B;A;B
A;A;A;B;A;B;B;B;B;B;B;A;A;B;A
B;B;B;B;A;B;B;B;A;B;B;B;A;A;B
B;A;A;A;A;A;B;A;B;A;A;A;B;B;B
B;B;B;B;B;B;B;A;B;B;B;B;B;A;B
A;A;A;A;A;B;A;A;B;A;A;A;A;B;A
A;A;B;A;A;A;A;B;A;B;A;A;A;B;A
B;B;B;B;B;B;B;B;A;A;B;A;A;A;A
B;A;A;A;A;A;B;A;A;A;B;A;A;B;B
A;B;B;B;B;A;B;B;B;A;B;B;B;A;B
A;B;A;A;B;A;B;A;A;A;A;B;A;A;A
B;B;B;B;B;B;B;B;B;B;B;B;B;A;B
B;B;B;B;B;B;B;A;B;A;B;B;B;A;B
B;B;B;B;B;A;B;B;A;B;B;B;B;A;B
B;B;B;B;B;B;B;B;B;B;B;B;B;A;B
B;A;B;B;B;B;B;B;B;B;A;B;B;B;B
A;B;B;A;B;A;A;A;A;B;A;A;A;B;A
A;B;A;A;B;A;A;A;A;A;B;A;A;A;B
B;B;B;B;A;B;B;B;B;B;B;B;B;A;A
B;B;B;B;B;B;B;A;B;B;B;B;B;A;B
B;A;A;A;A;B;B;A;A;A;B;A;A;B;A
B;B;B;B;A;A;B;A;A;A;A;B;A;B;A
B;B;B;B;B;B;A;B;B;B;B;B;B;A;B
B;B;A;B;B;B;B;B;B;B;B;B;A;A;B
B;A;A;B;B;A;A;B;A;B;B;A;A;B;A
B;B;B;A;B;A;B;B;A;B;B;B;B;A;B
A;A;B;A;A;A;A;A;B;A;B;A;A;B;A
B;B;B;B;B;B;B;B;B;B;B;B;B;A;B
A;A;A;B;A;A;A;A;A;A;A;A;A;B;B
B;A;A;A;A;A;A;A;A;B;B;B;A;B;A
B;A;B;B;A;B;A;B;B;B;B;B;B;A;B
B;A;A;A;A;A;A;A;A;B;A;A;A;B;B
A;B;A;A;A;A;B;B;A;A;A;A;B;A;A
B;A;A;B;A;A;B;A;A;A;A;B;A;B;A
A;A;A;A;B;A;A;A;A;A;B;A;B;B;A
A;A;A;A;A;A;B;B;A;A;A;A;B;B;B
A;A;A;A;A;B;B;A;B;A;A;A;B;B;A
B;B;B;B;B;A;B;B;B;B;B;A;A;A;B
A;B;A;B;A;A;B;B;B;A;B;A;A;A;A
A;A;A;A;B;A;A;B;B;A;B;A;B;B;B
A;A;B;A;A;A;A;B;A;A;A;A;A;B;B
A;A;A;B;A;A;B;A;A;A;A;A;B;B;A
A;A;A;A;B;A;A;B;B;A;A;A;A;B;A
B;A;A;B;A;A;A;A;A;B;A;A;B;B;A
B;B;B;B;B;B;A;B;B;A;B;B;A;A;B
A;A;B;A;A;B;A;A;A;A;A;A;A;B;A
A;B;B;A;A;B;A;A;A;A;B;A;A;B;A
B;A;B;B;B;B;B;A;B;B;A;B;B;B;B
A;A;A;A;A;A;A;B;A;A;A;B;B;B;B
A;A;B;A;A;B;A;B;A;A;A;A;A;B;A
A;B;A;B;A;A;B;A;A;A;B;A;A;A;A
A;B;B;B;B;B;B;B;B;A;B;B;B;A;B
B;B;A;A;A;B;A;A;A;A;A;A;A;A;A
A;B;B;B;B;A;B;B;B;B;B;B;B;A;B
A;A;B;A;A;A;A;A;A;B;B;A;B;B;A
B;A;B;A;A;A;B;B;A;A;A;A;A;B;A
A;A;A;B;B;A;A;A;B;A;A;A;A;B;B
B;B;A;B;B;A;B;A;B;A;B;B;B;A;B
A;B;A;A;B;A;A;B;A;A;B;A;A;B;A
B;B;A;B;B;B;B;B;B;B;B;A;B;A;B
B;B;B;B;A;B;B;A;B;B;B;A;B;A;B
B;B;B;B;B;B;B;B;A;B;A;B;B;A;A
A;A;B;B;A;B;A;B;B;A;A;A;A;B;A
B;B;B;A;B;B;B;B;B;B;B;A;B;A;B
B;B;B;B;B;B;A;B;B;A;B;A;B;A;B
B;B;B;A;B;B;A;B;B;B;B;B;B;A;B
B;A;A;A;A;A;A;B;A;A;B;A;A;B;A
B;B;B;B;A;B;B;B;B;B;B;B;B;A;B
A;A;A;B;A;A;A;B;B;A;A;A;A;B;A
B;B;A;B;B;B;A;B;B;B;B;B;A;B;A
B;B;A;B;B;B;B;B;B;B;B;A;B;A;B
A;A;A;A;A;A;A;A;A;A;B;B;B;B;A
A;A;B;B;B;B;B;A;B;B;B;B;B;B;B
B;B;B;B;B;B;B;B;B;B;B;A;B;A;B
A;A;B;A;A;A;A;A;A;A;B;B;A;B;A
A;A;B;A;A;B;A;A;A;B;B;A;A;B;A
B;A;B;A;A;A;B;A;B;A;A;A;A;B;A
B;B;A;A;A;B;A;A;A;B;A;B;B;A;A
A;A;B;B;A;A;B;A;A;A;A;B;B;B;A
B;B;B;B;B;B;B;A;B;A;B;A;B;A;B
A;A;B;A;B;A;A;A;A;A;B;A;A;B;B
B;B;B;B;A;B;B;B;A;B;B;B;A;A;B
B;B;B;B;B;B;B;B;B;B;B;B;B;A;B
A;A;A;A;B;A;A;A;A;A;A;A;B;B;B
B;B;B;B;B;B;B;B;A;B;B;B;A;A;B
A;A;B;B;B;B;A;A;B;B;B;B;A;B;B
B;B;B;B;A;A;B;B;B;B;B;B;B;A;A
A;A;A;B;A;A;B;B;A;A;A;B;A;B;B
B;A;B;B;B;B;B;B;B;B;B;B;A;B;B
B;A;A;A;A;A;B;A;A;A;A;A;A;B;A
B;B;B;B;B;B;A;B;B;B;B;B;B;A;B
A;A;A;A;A;A;A;A;A;B;A;B;B;B;A
B;B;B;B;B;B;A;B;B;B;B;B;B;A;B
A;A;A;A;A;A;A;A;A;A;B;A;A;B;A
B;B;B;B;B;B;A;B;B;B;B;B;B;A;B
A;A;B;A;A;B;B;A;A;B;A;A;B;B;A
B;B;B;B;B;B;B;B;B;B;B;B;B;A;B
A;A;A;B;A;A;A;A;A;A;A;A;A;B;A
A;B;B;B;A;B;A;B;B;A;A;B;B;A;B
B;B;B;B;B;B;B;B;B;A;B;B;A;A;B
B;A;A;A;A;A;A;A;A;A;A;B;B;B;B
B;B;B;A;B;B;B;B;B;B;B;B;B;A;B
A;B;B;B;B;B;B;B;B;A;B;B;B;A;B
B;A;B;A;A;B;A;A;A;A;B;A;A;B;B
B;A;A;A;B;A;B;A;A;A;B;B;B;B;A
A;A;B;B;A;B;B;B;A;B;A;B;A;B;A
B;B;B;B;B;B;B;B;A;B;B;B;B;A;B
B;A;A;A;A;A;A;A;A;B;A;A;A;B;B
A;A;A;B;A;A;A;B;B;A;A;A;B;B;B
B;B;A;B;B;A;B;B;B;B;A;B;B;A;B
B;A;B;A;A;A;A;A;A;A;B;B;A;B;A
B;B;B;B;B;B;B;B;B;B;A;B;A;A;B
A;A;A;B;A;B;A;A;B;A;A;A;A;B;A
B;A;A;A;A;B;A;A;A;B;A;B;A;B;B
B;A;A;A;B;A;A;B;A;A;B;B;A;B;A
B;B;B;B;B;B;B;B;B;A;B;B;B;A;B
A;A;B;A;A;A;A;A;A;B;B;B;A;B;A
B;B;B;B;B;B;B;B;B;B;B;B;B;A;B
B;B;A;B;B;B;B;B;B;A;B;B;B;A;A
A;A;B;A;A;A;B;B;B;A;A;A;B;B;A
B;B;A;B;B;B;A;B;B;B;A;B;A;A;B
B;B;B;A;B;B;B;A;B;A;B;B;B;A;B
B;B;B;B;B;B;B;B;B;B;B;A;B;A;B
B;B;A;B;B;B;B;B;B;B;A;B;B;A;A
B;B;B;B;B;B;B;B;B;B;B;B;B;A;B
B;B;B;A;B;B;B;B;B;B;B;B;B;A;B
A;B;A;A;A;A;B;A;B;A;A;A;A;B;A
A;A;A;A;B;A;B;A;A;A;A;A;A;B;A
B;B;B;A;B;B;B;B;A;B;A;B;B;A;B
B;B;B;A;B;B;B;B;B;B;B;B;B;A;B
